letter	frequency
20170201	37
20170202	89
20170203	84	
20170204	54
20170205	40
20170206	44	
20170207	24
20170208	-1	
20170209	-14
20170210	-22
20170211	-4
20170212	3	
20170213	16
20170214	37
20170215	68
20170216	62
20170217	69
20170218	43
20170219	64
20170220	91
20170201	34
20170202	86
20170203	86
20170204	57
20170205	44
20170206	43
20170207	24
20170208	0
20170209	-16
20170210	-23
20170211	-4
20170212	7
20170213	22
20170214	38
20170215	74
20170216	68
20170217	70
20170218	56
20170219	62
20170220	91
