countryc,Ccode,year,agrgdp,popn,infmort
Burkina Faso,BFA,1970,35.44188862,5633000,141.3999939
Botswana,BWA,1970,33.05509182,623500,94.80000305
Cameroon,CMR,1970,31.36392206,6506000,125.8000031
Ethiopia,ETH,1970,1.79769313486232e+308,28937000,157.8000031
Ghana,GHA,1970,46.51883327,8614000,110.5999985
"Gambia, The",GMB,1970,32.5443787,464000,184.6000061
Kenya,KEN,1970,33.29286623,11498000,102
Liberia,LBR,1970,24.10147992,1385000,177.8000031
Lesotho,LSO,1970,34.86430063,1064000,134
Madagascar,MDG,1970,24.4302794,6745000,181.1999969
Mauritius,MUS,1970,16.2077413,829000,59.79999924
Malawi,MWI,1970,43.97163121,4518000,193.3999939
Nigeria,NGA,1970,41.2847914,53215000,139.3999939
Sudan,SDN,1970,42.93389775,13859000,118
Swaziland,SWZ,1970,33.19559229,419000,138.6000061
Zambia,ZMB,1970,10.65195273,4189000,106
Zimbabwe,ZWE,1970,15.13353116,5249000,96.19999695
